id,Rating,Comment,PercentCanceledTrips
161,62.4,Secured incremental moderator,91.3
162,39.8,Cross-group modular complexity,2.5
163,21.1,Secured well-modulated Graphical User Interface,51.4
164,33.3,User-friendly regional Graphic Interface,18.8
165,96.4,Public-key reciprocal encoding,6.2
166,47.5,Distributed logistical analyzer,3.1
167,34.6,Robust mobile pricing structure,7.0
168,28.1,Diverse disintermediate throughput,21.3
169,60.5,Implemented secondary open architecture,85.3
170,88.0,Managed zero defect frame,89.4
171,41.7,Future-proofed real-time leverage,19.4
172,82.3,Total hybrid functionalities,8.4
173,91.5,Secured explicit policy,3.9
174,83.5,Pre-emptive demand-driven matrix,9.9
175,71.6,Face to face grid-enabled flexibility,6.4
176,43.9,Automated 3rd generation synergy,15.2
177,22.7,Synergistic reciprocal conglomeration,39.0
178,16.1,Right-sized motivating project,2.6
179,23.3,Optional zero administration attitude,12.2
180,56.7,Horizontal tertiary flexibility,15.2
181,41.9,Digitized transitional projection,65.0
182,81.7,Re-contextualized contextually-based matrix,12.0
183,96.6,Down-sized 3rd generation task-force,60.8
184,60.4,Right-sized systematic time-frame,67.6
185,7.3,Advanced static benchmark,92.2
186,80.2,Compatible asymmetric hierarchy,59.0
187,87.0,Streamlined dynamic collaboration,77.2
188,89.5,Programmable grid-enabled product,93.9
189,24.6,Robust eco-centric matrix,57.0
190,81.4,Synergized mission-critical approach,24.2
191,72.1,Quality-focused background help-desk,49.9
192,92.1,Business-focused well-modulated knowledge base,58.8
193,72.3,Business-focused asynchronous protocol,54.2
194,72.8,Synergized discrete project,73.1
195,91.8,Monitored zero tolerance software,70.9
196,80.5,Integrated composite data-warehouse,46.4
197,29.1,Cross-platform zero defect Graphic Interface,73.7
198,28.8,Distributed real-time Graphic Interface,81.1
199,16.5,Managed well-modulated info-mediaries,88.5
200,77.8,Organic demand-driven time-frame,64.6
201,64.4,Organized responsive framework,96.1
202,23.7,Optional systemic internet solution,85.9
203,21.2,Balanced directional flexibility,43.6
204,45.8,Enhanced object-oriented middleware,30.8
205,13.0,Switchable asynchronous secured line,66.5
206,56.2,Assimilated radical instruction set,82.3
207,91.0,Future-proofed explicit open system,4.1
208,65.3,Expanded exuding concept,75.6
209,44.6,Switchable user-facing matrices,1.8
210,54.6,Cloned encompassing firmware,4.5
211,85.6,Re-engineered non-volatile strategy,7.8
212,7.3,Robust solution-oriented standardization,87.0
213,57.8,Synergized fresh-thinking firmware,75.1
214,29.5,Decentralized analyzing local area network,98.6
215,56.9,Programmable client-server website,93.0
216,71.8,Switchable local approach,86.2
217,40.5,Balanced directional circuit,16.1
218,63.0,Adaptive eco-centric process improvement,71.4
219,60.1,Synergistic zero tolerance analyzer,82.1
220,33.9,Versatile web-enabled benchmark,83.7
221,89.0,Upgradable scalable definition,46.8
222,57.4,Extended cohesive pricing structure,59.5
223,89.2,Total context-sensitive success,7.3
224,11.7,Multi-lateral actuating secured line,83.6
225,69.0,Universal leading edge knowledge base,93.4
226,78.3,Reverse-engineered client-driven matrix,77.5
227,57.0,Function-based client-server portal,16.5
228,28.6,Customizable well-modulated monitoring,39.2
229,43.7,Down-sized multi-state hierarchy,18.2
230,24.3,Virtual responsive hardware,46.6
231,32.3,Expanded modular knowledge user,31.4
232,11.9,Automated motivating architecture,77.9
233,26.0,Enterprise-wide stable success,51.1
234,83.8,Configurable cohesive interface,32.2
235,91.7,User-friendly context-sensitive framework,90.4
236,2.5,User-centric client-server website,92.2
237,95.8,Business-focused human-resource function,77.8
238,54.5,Integrated explicit archive,77.0
239,67.7,Ergonomic even-keeled support,63.2
240,26.7,Multi-lateral modular moderator,88.8
241,97.1,Optional dedicated workforce,89.5
242,91.6,Operative systematic moderator,2.4
243,32.4,Exclusive secondary synergy,56.0
244,22.8,Function-based national workforce,36.2
245,4.5,De-engineered well-modulated process improvement,19.2
246,49.1,Universal systemic system engine,56.8
247,20.6,Advanced foreground data-warehouse,62.2
248,9.7,Persistent 3rd generation open system,19.4
249,4.4,Enterprise-wide global local area network,6.5
250,25.4,Open-source dynamic throughput,63.2
251,74.8,Polarised background definition,13.3
252,83.6,Customizable multimedia success,23.7
253,77.9,Vision-oriented solution-oriented structure,80.7
254,50.7,Total motivating hierarchy,97.7
255,38.0,Triple-buffered real-time function,74.7
256,93.3,Grass-roots disintermediate alliance,51.9
257,25.1,Phased eco-centric budgetary management,43.2
258,87.4,Visionary intermediate knowledge user,57.4
259,22.9,Optimized discrete knowledge user,7.7
260,19.6,Quality-focused fresh-thinking intranet,45.1
261,93.9,Seamless clear-thinking throughput,22.7
262,28.9,Profound real-time policy,78.9
263,41.4,User-centric scalable flexibility,52.5
264,35.4,Inverse static encryption,2.0
265,18.1,Distributed homogeneous conglomeration,53.0
266,70.4,Virtual context-sensitive approach,19.5
267,44.3,Digitized client-driven local area network,41.5
268,59.6,Secured bi-directional structure,65.8
269,14.6,Business-focused multimedia architecture,86.2
270,8.1,Cross-group executive capability,90.3
271,73.4,Grass-roots clear-thinking alliance,41.9
272,78.5,User-centric eco-centric frame,38.1
273,60.7,Profit-focused dedicated function,45.3
274,76.8,Optional systemic installation,39.8
275,15.8,Automated contextually-based software,94.7
276,24.0,Enhanced systemic approach,74.3
277,12.0,Object-based neutral core,3.1
278,87.2,Diverse foreground orchestration,95.6
279,30.0,Business-focused web-enabled knowledge base,84.2
280,3.6,Multi-tiered hybrid software,89.0
281,90.7,Universal tertiary core,36.6
282,3.2,Synergized 4th generation frame,62.6
283,44.4,Future-proofed zero tolerance process improvement,95.8
284,47.6,Expanded attitude-oriented interface,76.7
285,68.6,Object-based high-level flexibility,61.7
286,59.5,Optimized logistical success,10.4
287,71.8,Multi-channelled static capability,29.6
288,56.2,User-centric grid-enabled project,11.0
289,64.9,Synchronised neutral hierarchy,79.5
290,24.8,Universal holistic attitude,3.2
291,77.9,Enterprise-wide mission-critical matrix,58.8
292,19.6,Multi-lateral solution-oriented database,73.7
293,70.3,Organized needs-based benchmark,18.3
294,77.5,Triple-buffered non-volatile neural-net,34.9
295,37.9,Reduced user-facing adapter,21.4
296,97.8,Inverse solution-oriented collaboration,34.0
297,91.3,Optional scalable data-warehouse,77.5
298,49.4,Universal mobile attitude,96.9
299,77.1,Re-engineered attitude-oriented function,23.4
300,86.6,Object-based discrete standardization,46.8
301,57.2,Diverse bi-directional functionalities,91.5
302,58.5,Horizontal bottom-line forecast,35.7
303,15.9,Fundamental uniform instruction set,63.9
304,14.7,Future-proofed directional access,9.2
305,72.5,Advanced well-modulated help-desk,49.7
306,91.6,Function-based zero administration migration,53.3
307,11.4,Business-focused full-range challenge,33.4
308,26.4,Multi-tiered stable encryption,26.3
309,40.6,Self-enabling static definition,22.5
310,44.7,De-engineered explicit attitude,56.6
311,66.1,Progressive explicit orchestration,18.0
312,47.0,Profound 3rd generation functionalities,86.9
313,75.6,Customizable methodical task-force,95.0
314,11.2,Phased multi-state access,51.6
315,21.1,User-centric stable matrix,83.2
316,34.1,Horizontal demand-driven standardization,2.4
317,73.6,Fully-configurable non-volatile algorithm,75.8
318,11.4,Seamless client-server knowledge user,20.5
319,62.1,De-engineered multi-tasking parallelism,78.6
320,5.8,Switchable 3rd generation secured line,39.0
321,40.2,Persevering upward-trending Graphic Interface,65.6
322,59.1,Ameliorated full-range adapter,48.8
323,16.6,Optional 6th generation intranet,33.1
324,12.6,Re-contextualized cohesive local area network,98.0
325,98.4,Future-proofed asymmetric interface,27.1
326,72.0,Realigned multi-state analyzer,42.5
327,88.6,Automated 24 hour interface,96.2
328,39.1,Expanded intermediate analyzer,39.0
329,31.5,Diverse global secured line,52.6
330,11.7,Versatile web-enabled intranet,37.7
331,87.7,Customizable transitional circuit,79.8
332,40.0,Persistent transitional approach,4.6
333,29.0,Virtual asymmetric hierarchy,43.6
334,67.2,Adaptive 24/7 Graphic Interface,86.5
335,51.6,Adaptive disintermediate middleware,5.5
336,12.0,Function-based mission-critical analyzer,2.8
337,84.9,Centralized disintermediate monitoring,21.2
338,44.4,Cross-platform context-sensitive internet solution,66.6
339,44.5,Triple-buffered clear-thinking algorithm,59.8
340,53.8,Programmable exuding access,31.8
341,40.9,Public-key cohesive hierarchy,64.4
342,41.6,Programmable modular alliance,15.3
343,90.7,Distributed disintermediate leverage,33.7
344,60.3,Total high-level flexibility,90.6
345,48.4,Devolved bottom-line open system,66.8
346,68.8,Compatible fault-tolerant monitoring,21.7
347,98.8,Compatible stable installation,74.9
348,64.7,Multi-lateral fault-tolerant orchestration,76.7
349,41.1,Business-focused solution-oriented info-mediaries,68.5
350,43.0,Self-enabling context-sensitive structure,45.9
351,8.9,Operative asymmetric instruction set,92.1
352,85.1,Fundamental uniform benchmark,43.1
353,13.6,Open-architected even-keeled solution,17.4
354,86.9,Re-contextualized 24/7 hierarchy,53.3
355,32.7,Object-based national approach,66.6
356,22.1,Polarised intermediate function,91.3
357,72.3,Self-enabling motivating core,67.7
358,3.8,Cross-group stable task-force,54.6
359,27.5,Future-proofed impactful moratorium,65.9
360,13.8,Inverse intangible budgetary management,67.6
361,13.7,Reactive user-facing frame,93.6
362,16.6,Right-sized multi-state open architecture,70.5
363,1.7,Extended tertiary hub,79.1
364,23.8,Ergonomic empowering time-frame,59.7
365,34.6,Open-architected regional encryption,32.8
366,72.8,Phased reciprocal encoding,2.3
367,53.7,Extended intermediate website,4.0
368,8.0,Customizable clear-thinking matrices,7.9
369,27.6,Function-based fault-tolerant leverage,13.7
370,65.9,Organized attitude-oriented secured line,87.2
371,52.8,Configurable demand-driven workforce,70.3
372,94.0,Total zero administration analyzer,90.0
373,31.7,Innovative 24/7 secured line,17.7
374,72.8,Total optimizing matrices,58.1
375,36.7,Customizable global matrix,8.3
376,85.7,Configurable user-facing knowledge base,77.1
377,61.7,Fully-configurable directional firmware,11.8
378,52.4,Customizable 24/7 extranet,77.6
379,5.4,Digitized even-keeled archive,58.8
380,48.6,Configurable transitional core,54.0
381,43.2,Cross-group human-resource focus group,11.1
382,37.1,Enhanced uniform interface,10.5
383,10.4,Face to face content-based support,25.3
384,23.9,Automated zero administration middleware,90.0
385,2.1,Public-key radical process improvement,59.5
386,16.1,Digitized full-range task-force,64.4
387,78.9,User-centric discrete implementation,9.2
388,67.6,Extended zero defect synergy,46.7
389,22.8,Digitized needs-based implementation,79.3
390,4.1,Extended empowering parallelism,22.7
391,84.6,User-friendly didactic secured line,42.1
392,96.1,Intuitive object-oriented intranet,68.1
393,52.0,Exclusive grid-enabled standardization,40.2
394,37.8,Expanded exuding focus group,90.2
395,87.8,Synergized systemic open architecture,35.5
396,39.2,Switchable demand-driven definition,3.9
397,9.2,Quality-focused mission-critical alliance,86.6
398,55.8,Profound full-range encryption,2.5
399,55.0,Implemented modular initiative,26.5
400,95.7,Multi-channelled high-level policy,66.3
401,80.4,Robust national Graphical User Interface,23.9
402,51.7,Innovative reciprocal project,79.3
403,36.8,Centralized tangible process improvement,50.6
404,65.6,Persistent clear-thinking emulation,89.1
405,8.3,Monitored high-level throughput,25.6
406,96.7,Ergonomic logistical function,38.1
407,39.1,Multi-lateral clear-thinking conglomeration,70.0
408,34.4,Multi-channelled regional synergy,2.7
409,58.4,Triple-buffered heuristic projection,44.2
410,37.6,De-engineered impactful encoding,76.2
411,78.6,Down-sized bottom-line flexibility,91.8
412,89.5,Phased bifurcated archive,3.5
413,35.2,Focused secondary Graphic Interface,67.7
414,83.4,Multi-layered bottom-line system engine,74.6
415,53.6,Horizontal well-modulated utilisation,84.6
416,86.5,User-friendly global toolset,94.1
417,27.8,Quality-focused attitude-oriented functionalities,15.9
418,95.4,Digitized motivating emulation,78.0
419,1.6,Implemented neutral capacity,7.3
420,7.0,Open-source transitional process improvement,73.6
421,55.9,Cloned multi-state adapter,78.3
422,46.2,Team-oriented interactive archive,69.8
423,71.3,Diverse composite local area network,83.8
424,29.9,Managed non-volatile intranet,95.3
425,30.9,Down-sized bi-directional circuit,8.7
426,12.4,Customer-focused systemic success,34.8
427,79.4,Intuitive attitude-oriented attitude,5.1
428,63.5,Streamlined context-sensitive moratorium,71.3
429,11.0,Open-source regional methodology,89.7
430,8.3,Automated systemic product,53.1
431,59.8,Focused eco-centric moderator,84.4
432,20.7,Configurable user-facing forecast,57.3
433,67.7,Persevering explicit pricing structure,4.9
434,46.7,Virtual leading edge Graphic Interface,43.0
435,3.8,Sharable radical artificial intelligence,59.2
436,7.0,Up-sized maximized pricing structure,77.6
437,65.0,Persevering modular service-desk,86.0
438,4.2,Focused asynchronous circuit,97.4
439,19.8,Universal discrete implementation,33.4
440,45.7,Innovative non-volatile frame,32.0
441,67.0,Front-line mission-critical matrices,98.5
442,67.6,Team-oriented grid-enabled implementation,72.7
443,82.8,Open-architected object-oriented benchmark,14.7
444,93.3,Programmable intangible customer loyalty,6.2
445,93.8,Balanced asynchronous matrices,5.5
446,17.2,Innovative value-added infrastructure,83.5
447,46.8,Advanced bottom-line function,45.3
448,75.9,Stand-alone dynamic firmware,76.8
449,35.1,Reactive zero tolerance focus group,88.1
450,73.9,Proactive next generation capability,50.4
451,18.6,Re-contextualized value-added product,1.3
452,34.4,Synergized value-added projection,15.5
453,44.1,Robust didactic product,40.3
454,27.5,Upgradable global function,29.9
455,32.1,Sharable holistic neural-net,19.2
456,81.1,Function-based intangible hub,78.2
457,19.9,Streamlined systemic structure,58.8
458,66.5,Multi-lateral stable product,49.8
459,63.3,Multi-channelled 4th generation complexity,52.4
460,32.4,Cross-group uniform adapter,76.3
461,45.9,Ameliorated object-oriented analyzer,95.1
462,42.6,Up-sized multi-state benchmark,54.6
463,22.2,Up-sized uniform data-warehouse,53.6
464,30.6,Focused multimedia model,62.6
465,47.9,Optional bandwidth-monitored encoding,17.6
466,45.7,Seamless optimal portal,3.8
467,67.9,Down-sized user-facing array,28.7
468,70.8,Function-based actuating function,91.3
469,70.1,Innovative bi-directional analyzer,62.5
470,78.7,Realigned next generation flexibility,21.8
471,37.7,Assimilated empowering workforce,19.9
472,83.6,Synchronised high-level monitoring,7.8
473,62.7,Organized tangible capacity,87.6
474,97.1,User-friendly composite project,61.2
475,16.0,Versatile exuding initiative,85.5
476,4.6,Enterprise-wide radical open system,88.7
477,2.0,Devolved bottom-line complexity,5.0
478,60.9,Virtual non-volatile encoding,41.2
479,27.7,Decentralized content-based knowledge base,39.8
480,72.5,Multi-layered discrete moratorium,5.7
481,85.3,Synergistic radical artificial intelligence,91.3
482,22.0,Ameliorated global throughput,86.5
483,58.4,User-centric modular product,94.6
484,49.9,Cross-group context-sensitive superstructure,37.5
485,11.3,Open-source didactic collaboration,44.0
486,46.7,Function-based attitude-oriented strategy,66.9
487,13.0,Persevering zero administration framework,67.2
488,31.2,Devolved fault-tolerant success,7.0
489,87.4,Progressive discrete array,21.9
490,17.1,Automated eco-centric middleware,54.9
491,78.7,Switchable exuding access,44.6
492,71.0,Re-contextualized 5th generation secured line,19.4
493,56.4,Cloned homogeneous challenge,26.8
494,10.4,Enhanced needs-based matrices,72.6
495,84.3,Persistent content-based open system,51.1
496,16.4,Synergistic hybrid firmware,53.2
497,15.4,Profound upward-trending structure,77.0
498,5.1,Synchronised intangible application,97.9
499,9.2,Versatile regional policy,91.3
500,71.4,Ameliorated real-time support,51.3
501,32.1,Grass-roots bottom-line access,90.8
502,31.2,Focused solution-oriented service-desk,24.7
503,65.8,Persistent 3rd generation architecture,26.1
504,4.2,Reverse-engineered zero administration interface,76.6
505,28.4,Digitized upward-trending moderator,79.5
506,67.9,Profound needs-based archive,17.7
507,70.1,Organized mission-critical alliance,9.5
508,34.7,Intuitive fault-tolerant function,79.8
509,65.2,Enhanced maximized matrix,35.5
510,46.0,Synchronised didactic matrix,34.7
511,11.8,Multi-tiered zero administration strategy,73.7
512,27.4,User-centric real-time orchestration,72.6
513,52.1,Realigned zero administration infrastructure,56.8
514,82.0,Advanced needs-based matrix,36.0
515,21.3,Upgradable mobile attitude,79.7
516,26.3,Synergized background pricing structure,13.4
517,20.0,Fundamental grid-enabled system engine,50.7
518,60.2,Managed mission-critical structure,27.8
519,49.6,Fundamental methodical neural-net,1.9
520,32.0,Multi-lateral maximized knowledge user,64.2
521,25.0,Decentralized clear-thinking complexity,39.2
522,50.3,Business-focused dedicated focus group,61.7
523,2.0,Assimilated client-server function,59.9
524,41.5,De-engineered optimizing functionalities,88.9
525,48.1,Profound encompassing methodology,74.4
526,62.3,Cross-group exuding project,68.3
527,65.4,Open-architected scalable initiative,24.0
528,51.4,User-centric empowering access,84.1
529,57.3,Organic motivating orchestration,12.7
530,11.8,Streamlined 24 hour implementation,80.4
531,70.3,Total needs-based challenge,55.5
532,8.8,Fundamental real-time encoding,73.9
533,22.7,Synchronised hybrid benchmark,72.8
534,71.6,Future-proofed attitude-oriented firmware,41.9
535,83.9,Self-enabling 24/7 database,18.1
536,74.5,De-engineered static interface,47.0
537,10.1,Function-based discrete info-mediaries,64.8
538,85.2,Enterprise-wide empowering orchestration,39.9
539,82.6,Operative uniform protocol,76.8
540,47.3,Realigned multimedia capability,25.2
541,82.9,Public-key impactful parallelism,75.0
542,75.0,Profound clear-thinking throughput,9.9
543,5.2,Profound tangible challenge,91.3
544,26.9,Virtual 4th generation core,17.3
545,86.7,Face to face incremental ability,68.9
546,49.2,Robust global infrastructure,41.5
547,81.1,Exclusive actuating time-frame,4.4
548,40.1,Sharable zero defect analyzer,49.5
549,20.2,Future-proofed background process improvement,91.8
550,84.0,Intuitive methodical matrices,65.8
551,20.4,Monitored foreground matrices,12.3
552,88.7,Focused cohesive support,21.7
553,35.3,Visionary grid-enabled help-desk,85.1
554,41.3,Up-sized client-server portal,90.3
555,55.2,Open-source contextually-based service-desk,52.0
556,83.4,Re-contextualized tertiary system engine,88.1
557,55.9,Grass-roots dedicated installation,21.8
558,4.3,Multi-layered system-worthy capability,4.8
559,58.4,Assimilated global budgetary management,97.5
560,82.1,Extended reciprocal matrices,62.5
561,55.9,Face to face logistical policy,78.0
562,49.5,Optimized zero defect budgetary management,57.9
563,41.5,Profit-focused clear-thinking core,8.6
564,45.9,Synchronised incremental matrix,85.1
565,62.0,Streamlined empowering groupware,12.4
566,5.8,Adaptive bifurcated project,14.8
567,27.9,Re-contextualized human-resource process improvement,39.0
568,8.7,Secured 24/7 local area network,20.5
569,3.9,User-centric holistic open architecture,18.2
570,4.1,Public-key dedicated website,85.9
571,76.4,Inverse mobile Graphic Interface,43.1
572,29.2,Expanded responsive local area network,41.1
573,87.7,Multi-channelled systematic ability,62.6
574,5.5,Right-sized bottom-line superstructure,53.5
575,1.0,Reactive coherent info-mediaries,85.2
576,52.4,Reverse-engineered solution-oriented internet solution,30.0
577,2.8,Pre-emptive system-worthy success,47.3
578,11.7,Vision-oriented background success,66.1
579,60.5,Triple-buffered cohesive infrastructure,94.8
580,46.0,User-centric stable circuit,51.8
581,14.0,Exclusive responsive Graphic Interface,19.6
582,4.4,Enterprise-wide system-worthy complexity,2.9
583,71.8,Multi-channelled fault-tolerant access,34.7
584,41.5,Total tangible Graphic Interface,16.1
585,82.5,Profit-focused discrete protocol,81.6
586,86.6,Balanced multi-tasking task-force,36.3
587,3.6,Reverse-engineered executive protocol,15.2
588,48.3,Versatile real-time secured line,25.2
589,7.2,User-friendly didactic moderator,69.5
590,31.1,User-friendly solution-oriented analyzer,23.5
591,79.4,Virtual asynchronous website,41.1
592,78.3,Devolved full-range approach,62.2
593,9.3,Reduced encompassing knowledge base,90.6
594,14.6,Synergistic 3rd generation parallelism,58.9
595,53.6,Balanced incremental local area network,6.0
596,64.2,Front-line mobile interface,30.2
597,95.5,Integrated local instruction set,95.2
598,50.9,Operative leading edge extranet,86.1
599,94.1,Digitized full-range methodology,61.1
600,81.9,De-engineered optimizing core,82.6
601,37.3,Pre-emptive system-worthy extranet,89.4
602,88.5,Robust zero administration internet solution,20.3
603,52.3,Re-contextualized intangible definition,54.2
604,80.8,Public-key secondary attitude,86.7
605,54.6,Mandatory bandwidth-monitored productivity,48.4
606,12.8,Team-oriented analyzing standardization,15.0
607,2.3,Team-oriented national hierarchy,29.2
608,20.7,Intuitive foreground methodology,59.8
609,4.6,Reactive exuding extranet,84.4
610,29.5,Optional client-driven task-force,56.5
611,98.9,Re-engineered heuristic service-desk,62.5
612,79.2,Reactive mission-critical synergy,94.6
613,33.1,Organic even-keeled product,66.9
614,50.4,Secured value-added contingency,59.8
615,3.3,Versatile incremental matrices,55.0
616,67.8,Implemented encompassing access,96.3
